A,B,C,D
1,35,58.32,253.17
2,11,67.33,61.06
3,21,76.19,141.27
4,35,85.05,253.31
5,9,94,45.22
6,3,103.03,-2.99
7,35,112.1,253.01
8,37,121.18,269.33
9,6,130.06,21.15
10,7,139.17,29.14
11,10,148.12,53
12,21,157.15,141.36
13,29,166.36,205.17
14,18,175.24,117.16
15,11,184.33,61.1
16,28,193.36,197.15
17,31,202.32,221.2
18,26,211.21,181
19,22,220.19,149
20,31,229.26,221.19
21,7,238.29,29.25
22,9,247.1,45.02
23,39,256.32,285.33
24,10,265.1,53.11
25,28,274.14,197.06
26,32,283.34,229.37
27,10,292.17,53.23
28,24,301.03,164.98
29,18,310.17,117.19
30,21,319.08,141.08
31,34,328.07,244.99
32,14,337.09,85.03
33,10,346.08,53.37
34,5,355.11,13.02
35,18,364.31,117.18
36,19,373.24,125.06
37,18,382.26,117.25
38,35,391.1,253.22
39,35,400.28,253.34
40,16,409.01,101.36
41,18,418.28,117.06
42,11,427.02,61.17
43,17,436.12,109.19
44,16,445.1,101.24
45,20,454.2,133.18
46,32,462.99,229.04
47,32,472.09,229.32
48,11,481.04,61.36
49,36,490.31,261.18
50,32,499,229.22
51,30,508.18,213.04
52,30,517.22,213
53,1,525.99,-18.86
54,15,535.07,93.18
55,1,544.2,-18.99
56,21,553.04,141.02
57,19,562.37,125.06
58,5,571,13.04
59,3,580.36,-3.02
60,16,589.2,101
61,32,598.03,229.12
62,38,607.25,277.36
63,0,616.27,-26.71
64,8,625.34,36.99
65,29,634.35,205.13
66,32,643.09,229.19
67,28,652.28,197.1
68,36,661.34,261.13
69,35,670.29,253.11
70,35,679.05,253.26
71,29,688.29,205.23
72,3,697.27,-2.98
73,34,706.19,245.23
74,25,715.28,173.19
75,26,724.09,181.17
76,1,733.01,-18.8
77,15,742.21,93.1
78,27,751.1,188.98
79,2,760.05,-10.7
80,8,769,37.29
81,28,778.29,197.21
82,13,787.24,77.02
83,9,796.18,45.24
84,35,805.04,253.06
85,16,814.22,101.17
86,27,823.16,189.12
87,9,832.31,45.27
88,14,841.1,84.99
89,14,850.13,84.98
90,38,859.13,277.32
91,22,868.01,149.15
92,37,877.06,269.02
93,1,886.15,-18.78
94,19,895.1,125.2
95,27,904.27,189.37
96,38,913.06,277.15
97,4,922.16,5
98,34,931.3,245.12
99,27,940.36,189.27
100,28,949.35,197.02
