A,B,C,D,E,F
25,165.08,1,24.34,29.7991,8.54475
7,75.33,26,324.4,54.3229,8.60389
18,130.45,17,216.3,2.53571,5.43784
7,75.09,31,384.26,29.0163,19.5717
19,135.38,11,144.47,-31.2546,-90.7698
6,70.26,39,480.05,3.26784,5.03202
1,45.02,18,228.16,66.7506,12.975
15,115.56,26,324.29,-24.552,-26.3287
34,210,16,204.14,-60.0405,-31.924
6,70.09,5,72.34,41.207,84.4866
5,65.38,30,372.21,59.8793,11.6393
6,70.51,1,24.54,-86.3515,-10.6026
15,115.25,21,264.18,-81.5922,-32.9654
5,65.35,20,252.3,-4.45503,-2.26995
37,224.98,24,300.19,-20.8398,-21.5802
3,55.53,12,156.1,39.8343,33.4249
9,85.28,39,480.39,-89.1007,-45.399
36,220.24,32,396.26,-16.9296,-49.167
6,70.02,34,420.03,-79.5643,-19.8376
31,195.04,22,276.52,-81.0816,-41.3131
26,170.29,0,12.07,56.2917,32.5
27,175.03,8,108.03,17.6121,11.4374
30,190.06,15,192.39,-52.8276,-30.5
18,130.22,12,156.41,59.397,59.3969
13,105.12,38,468.04,58.9859,56.9619
0,40.38,4,60.09,-11.7954,-26.4928
9,85.48,0,12.34,-43.7635,-45.3184
25,165.05,30,372.29,-88.0818,-42.9603
39,235.3,27,336.08,-42.5815,-5.98444
2,50.4,18,228.09,-63.6397,-63.6396
23,154.99,1,24.16,7.50001,12.9904
21,145.21,36,444.18,56.6873,47.5662
14,110.08,5,72.33,2.29431,3.27661
18,130,13,168.34,5.86098,13.8076
0,40.46,37,456.47,-25.4364,-83.1985
10,90.45,10,132.01,-89.9896,-19.1279
21,145.18,34,420.14,-39.7198,-52.7099
34,210.25,39,479.97,-8.20851,-22.5526
0,40.43,31,384.22,-15.6486,-6.64242
19,135.52,39,480.14,23.638,8.1392
17,125.53,32,396.24,-84.1548,-25.7287
17,125.3,5,72,36.4427,50.159
3,55.13,39,480.51,5.2091,15.1283
10,90.05,2,36.18,20.4296,40.0953
11,95.22,33,408.27,-33.0896,-31.9543
14,110.48,7,96.35,-48.5148,-12.0961
23,155.44,4,60.45,-12.3716,-35.9297
28,180.02,2,36.36,-64.7214,-47.0228
15,115.07,11,144.27,2.54415,1.58976
8,80.43,34,420.3,70.21,65.4718
32,200.19,39,480.48,-39.9694,-55.0131
2,50.52,29,360.03,15.9124,1.67245
12,100.41,37,456.24,-52.8495,-21.3526
38,230.28,39,480.18,-2.50858,-6.53506
38,229.98,0,12.21,-80.5737,-48.4135
32,200.16,30,372.4,15.0515,39.2104
33,205.42,30,372.51,46.9458,19.9273
25,165.01,2,36.11,65.8301,26.597
23,155.18,0,12.39,-45.7046,-35.7083
36,220.5,26,324.33,-10.4616,-3.39918
24,160.19,24,300.43,24.8517,81.2859
21,145.27,23,288.4,-78.9342,-28.7297
21,145.11,11,144.12,24.4894,13.5747
4,60.49,7,96.14,23.3687,11.3976
10,90.4,26,324.26,84.9558,32.6115
14,110.05,38,468.27,-7.00001,-12.1244
28,180.04,18,228.21,4.8481,8.74619
19,135.2,20,252.39,-35.9465,-73.7011
36,220.32,13,168,-4.70229,-6.47213
36,220.11,14,180.2,18.4195,60.2472
19,135.26,38,468.06,32.6116,84.9558
24,160.49,32,396.31,-38.4833,-21.3316
21,145.52,10,131.98,41.5253,55.1058
22,150.42,35,432.04,-58.6889,-12.4747
39,235.53,22,276.22,37.0883,69.7528
3,55.55,27,336.3,66.745,5.83943
38,230.41,22,276.19,-65.8219,-61.3798
28,180.48,25,312.55,34.9716,28.3194
19,135.16,39,480.31,5.66312,4.11449
22,150.15,28,348.41,-33.7546,-69.2071
21,145.36,30,372.37,-34.5283,-33.3436
11,94.99,13,168.3,72.0021,43.2632
32,200.5,7,96.26,-16.7907,-2.65938
4,60.39,24,300.52,-43.7635,-45.3184
27,175.08,29,360.04,-10.1029,-8.18116
6,70.45,23,288.25,-35.8997,-15.2385
18,130.29,30,372.2,18.5,32.0429
39,234.98,20,252.56,-7.0921,-5.54095
23,155.52,38,468.04,44.9952,53.6231
10,90.46,38,468.28,35.9961,42.8985
36,220.12,25,312.08,1.45443,2.62386
31,195.1,30,372.39,8.47881,27.7328
29,185.37,9,120.46,98.6233,8.62841
24,160.52,35,432.39,19.0676,37.4223
9,85.02,27,336.44,24.7432,71.8594
12,100.01,11,144.07,-90.3097,-17.5544
36,220.56,12,156.24,40.7754,4.28566
35,215.19,13,168.53,59.2006,21.5473
17,125.25,20,252.21,-69.9432,-56.6388
34,210.09,19,239.99,66.255,43.0265
38,230.01,24,300.18,33.5814,5.31877
19,135.39,24,300.08,8.80333,1.8712
4,60.13,0,12.27,-68.557,-53.5625
15,115.19,23,288.32,33.2356,18.4228
29,185.5,38,468.18,40.8441,76.8164
21,145.14,33,408.54,56.1085,54.1833
22,150.06,2,36.43,32.6788,4.59271
35,215.06,32,396.52,-0.309018,-0.951056
31,195.11,19,240.51,40.1041,8.52437
