regular,lamarck,darwin,,,
4,2,2,,,7_tricky.txt
2,1,0,,,example_5.txt
3,1,7,,,example_7_easy.txt
2,0,1,,,example_6_easy.txt
2,1,2,,,example_6_easy.txt
2,0,3,,,6_tricky.txt
0,0,0,,,example_5.txt
3,1,2,,,6_tricky.txt
0,0,0,,,example_5.txt
0,0,2,,,example_5.txt
2,0,3,,,6_tricky.txt
2,0,0,,,example_5_tricky.txt
2,1,2,,,example_6_easy.txt
3,1,2,,,example_6_easy.txt
3,1,2,,,example_6_easy.txt
5,2,2,,,example_7_easy.txt
3,2,5,,,7_tricky.txt
1,0,0,,,example_5.txt
3,1,3,,,7_tricky.txt
0,0,0,,,example_5.txt
2.1,0.7,1.9,,,
