Sequence,division_number,error_rate,number_of_cancer_cells,number_of_mutant_cells,number_of_proteins
NM_001185098.2;INS,1.0,0.01,0.0,3.0,2.0
NM_001185098.2;INS,1.0,0.05000000000000001,2.0,1.0,2.0
NM_001185098.2;INS,1.0,0.10000000000000002,2.0,1.0,2.0
NM_001185098.2;INS,1.0,0.15000000000000002,2.0,1.0,2.0
NM_001185098.2;INS,1.0,0.20000000000000004,2.0,1.0,2.0
NM_001185098.2;INS,1.0,0.25,2.0,1.0,2.0
NM_001185098.2;INS,1.0,0.3,2.0,1.0,2.0
NM_001185098.2;INS,1.0,0.35000000000000003,2.0,1.0,2.0
NM_001185098.2;INS,1.0,0.4000000000000001,2.0,1.0,2.0
NM_001185098.2;INS,1.0,0.45,2.0,1.0,2.0
NM_001185098.2;INS,1.0,0.5,2.0,1.0,2.0
NM_001185098.2;INS,2.0,0.01,4.0,5.0,5.0
NM_001185098.2;INS,2.0,0.05000000000000001,22.0,1.0,5.0
NM_001185098.2;INS,2.0,0.10000000000000002,22.0,1.0,5.0
NM_001185098.2;INS,2.0,0.15000000000000002,22.0,1.0,5.0
NM_001185098.2;INS,2.0,0.20000000000000004,22.0,1.0,5.0
NM_001185098.2;INS,2.0,0.25,22.0,1.0,5.0
NM_001185098.2;INS,2.0,0.3,22.0,1.0,5.0
NM_001185098.2;INS,2.0,0.35000000000000003,22.0,1.0,5.0
NM_001185098.2;INS,2.0,0.4000000000000001,22.0,1.0,5.0
NM_001185098.2;INS,2.0,0.45,22.0,1.0,5.0
NM_001185098.2;INS,2.0,0.5,22.0,1.0,5.0
NM_001185098.2;INS,3.0,0.01,48.0,7.0,13.0
NM_001185098.2;INS,3.0,0.05000000000000001,222.0,1.0,28.0
NM_001185098.2;INS,3.0,0.10000000000000002,222.0,1.0,28.0
NM_001185098.2;INS,3.0,0.15000000000000002,222.0,1.0,28.0
NM_001185098.2;INS,3.0,0.20000000000000004,222.0,1.0,28.0
NM_001185098.2;INS,3.0,0.25,222.0,1.0,28.0
NM_001185098.2;INS,3.0,0.3,222.0,1.0,28.0
NM_001185098.2;INS,3.0,0.35000000000000003,222.0,1.0,28.0
NM_001185098.2;INS,3.0,0.4000000000000001,222.0,1.0,28.0
NM_001185098.2;INS,3.0,0.45,222.0,1.0,28.0
NM_001185098.2;INS,3.0,0.5,222.0,1.0,28.0
NM_001185098.2;INS,4.0,0.01,492.0,9.0,64.66666666666667
